Landkreis;Crop;Variety;A_ha;P_per_A;P_t;Year
Havelland;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen;NA;44.1;NA;2001-2006
Havelland;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen und Maehweiden zusammen;NA;50.1;NA;2001-2006
Havelland;Getreide;Brotgetreide zusammen;NA;51.2;NA;2001-2006
Havelland;Getreide;Futter- und Industriegetreide;NA;50.1;NA;2001-2006
Havelland;Getreide;Gerste zusammen;NA;54.1;NA;2001-2006
Havelland;Getreide;Getreide insgesamt;NA;51.4;NA;2001-2006
Havelland;Getreide;Getreide zur Ganzpflanzenernte;NA;NA;NA;2001-2006
Havelland;Getreide;Getreide zusammen (ohne Koernermais und Corn-Cob-Mix);NA;50.9;NA;2001-2006
Havelland;Getreide;Hafer;NA;39.1;NA;2001-2006
Havelland;Getreide;Koernermais (einschl. Corn-Cob-Mix);NA;68.9;NA;2001-2006
Havelland;Getreide;Roggen;NA;48.6;NA;2001-2006
Havelland;Getreide;Roggen und Wintermenggetreide;NA;NA;NA;2001-2006
Havelland;Getreide;Sommergerste;NA;38.8;NA;2001-2006
Havelland;Getreide;Triticale;NA;49.3;NA;2001-2006
Havelland;Getreide;Weizen zusammen;NA;54.5;NA;2001-2006
Havelland;Getreide;Wintergerste;NA;57.2;NA;2001-2006
Havelland;Getreide;Winterweizen einschl. Dinkel;NA;55.1;NA;2001-2006
Havelland;Hackfruechte;Kartoffeln zusammen;NA;290.5;NA;2001-2006
Havelland;Hackfruechte;mittelfruehe und spaete Kartoffeln;NA;290.5;NA;2001-2006
Havelland;Hackfruechte;Zuckerrueben;NA;437.6;NA;2001-2006
Havelland;Huelsenfruechte;Erbsen;NA;27. Aug;NA;2001-2006
Havelland;Huelsenfruechte;Lupinen;NA;NA;NA;2001-2006
Havelland;Oelfruechte;Raps und Ruebsen zusammen;NA;NA;NA;2001-2006
Havelland;Oelfruechte;Sonnenblumen;NA;18. Jul;NA;2001-2006
Havelland;Oelfruechte;Winterraps;NA;31.9;NA;2001-2006
Kreisfreie Staedte;Futterpflanzen, Dauergruenland, Gruenernte;Feldgras/Grasanbau;NA;NA;NA;2001-2006
Kreisfreie Staedte;Futterpflanzen, Dauergruenland, Gruenernte;Klee, Kleegras und Klee-Luzerne-Gemisch;NA;NA;NA;2001-2006
Kreisfreie Staedte;Futterpflanzen, Dauergruenland, Gruenernte;Leguminosen;NA;NA;NA;2001-2006
Kreisfreie Staedte;Futterpflanzen, Dauergruenland, Gruenernte;Luzerne, Luzernegras;NA;NA;NA;2001-2006
Kreisfreie Staedte;Futterpflanzen, Dauergruenland, Gruenernte;Silomais;NA;NA;NA;2001-2006
Kreisfreie Staedte;Futterpflanzen, Dauergruenland, Gruenernte;Weiden;NA;NA;NA;2001-2006
Kreisfreie Staedte;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen;NA;NA;NA;2001-2006
Kreisfreie Staedte;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen und Maehweiden zusammen;NA;NA;NA;2001-2006
Kreisfreie Staedte;Getreide;Brotgetreide zusammen;NA;NA;NA;2001-2006
Kreisfreie Staedte;Getreide;Futter- und Industriegetreide;NA;NA;NA;2001-2006
Kreisfreie Staedte;Getreide;Gerste zusammen;NA;NA;NA;2001-2006
Kreisfreie Staedte;Getreide;Getreide insgesamt;NA;NA;NA;2001-2006
Kreisfreie Staedte;Getreide;Getreide zur Ganzpflanzenernte;NA;NA;NA;2001-2006
Kreisfreie Staedte;Getreide;Getreide zusammen (ohne Koernermais und Corn-Cob-Mix);NA;NA;NA;2001-2006
Kreisfreie Staedte;Getreide;Hafer;NA;NA;NA;2001-2006
Kreisfreie Staedte;Getreide;Koernermais (einschl. Corn-Cob-Mix);NA;NA;NA;2001-2006
Kreisfreie Staedte;Getreide;Roggen;NA;NA;NA;2001-2006
Kreisfreie Staedte;Getreide;Roggen und Wintermenggetreide;NA;NA;NA;2001-2006
Kreisfreie Staedte;Getreide;Sommergerste;NA;NA;NA;2001-2006
Kreisfreie Staedte;Getreide;Triticale;NA;NA;NA;2001-2006
Kreisfreie Staedte;Getreide;Weizen zusammen;NA;NA;NA;2001-2006
Kreisfreie Staedte;Getreide;Wintergerste;NA;NA;NA;2001-2006
Kreisfreie Staedte;Getreide;Winterweizen einschl. Dinkel;NA;NA;NA;2001-2006
Kreisfreie Staedte;Hackfruechte;Kartoffeln zusammen;NA;NA;NA;2001-2006
Kreisfreie Staedte;Hackfruechte;mittelfruehe und spaete Kartoffeln;NA;NA;NA;2001-2006
Kreisfreie Staedte;Hackfruechte;Zuckerrueben;NA;NA;NA;2001-2006
Kreisfreie Staedte;Huelsenfruechte;Erbsen;NA;NA;NA;2001-2006
Kreisfreie Staedte;Huelsenfruechte;Lupinen;NA;NA;NA;2001-2006
Kreisfreie Staedte;Oelfruechte;Raps und Ruebsen zusammen;NA;NA;NA;2001-2006
Kreisfreie Staedte;Oelfruechte;Sonnenblumen;NA;NA;NA;2001-2006
Kreisfreie Staedte;Oelfruechte;Winterraps;NA;NA;NA;2001-2006
Maerkisch-Oderland;Futterpflanzen, Dauergruenland, Gruenernte;Feldgras/Grasanbau;NA;48.2;NA;2001-2006
Maerkisch-Oderland;Futterpflanzen, Dauergruenland, Gruenernte;Klee, Kleegras und Klee-Luzerne-Gemisch;NA;66.3;NA;2001-2006
Maerkisch-Oderland;Futterpflanzen, Dauergruenland, Gruenernte;Leguminosen;NA;NA;NA;2001-2006
Maerkisch-Oderland;Futterpflanzen, Dauergruenland, Gruenernte;Luzerne, Luzernegras;NA;69.7;NA;2001-2006
Maerkisch-Oderland;Futterpflanzen, Dauergruenland, Gruenernte;Silomais;NA;329;NA;2001-2006
Maerkisch-Oderland;Futterpflanzen, Dauergruenland, Gruenernte;Weiden;NA;50.1;NA;2001-2006
Maerkisch-Oderland;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen;NA;41.1;NA;2001-2006
Maerkisch-Oderland;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen und Maehweiden zusammen;NA;47.1;NA;2001-2006
Maerkisch-Oderland;Getreide;Brotgetreide zusammen;NA;54.2;NA;2001-2006
Maerkisch-Oderland;Getreide;Futter- und Industriegetreide;NA;48.3;NA;2001-2006
Maerkisch-Oderland;Getreide;Gerste zusammen;NA;52;NA;2001-2006
Maerkisch-Oderland;Getreide;Getreide insgesamt;NA;53.5;NA;2001-2006
Maerkisch-Oderland;Getreide;Getreide zur Ganzpflanzenernte;NA;NA;NA;2001-2006
Maerkisch-Oderland;Getreide;Getreide zusammen (ohne Koernermais und Corn-Cob-Mix);NA;52.8;NA;2001-2006
Maerkisch-Oderland;Getreide;Hafer;NA;35.9;NA;2001-2006
Maerkisch-Oderland;Getreide;Koernermais (einschl. Corn-Cob-Mix);NA;70.5;NA;2001-2006
Maerkisch-Oderland;Getreide;Roggen;NA;49.4;NA;2001-2006
Maerkisch-Oderland;Getreide;Roggen und Wintermenggetreide;NA;NA;NA;2001-2006
Maerkisch-Oderland;Getreide;Sommergerste;NA;38.6;NA;2001-2006
Maerkisch-Oderland;Getreide;Triticale;NA;47.2;NA;2001-2006
Maerkisch-Oderland;Getreide;Weizen zusammen;NA;56.6;NA;2001-2006
Maerkisch-Oderland;Getreide;Wintergerste;NA;54.7;NA;2001-2006
Maerkisch-Oderland;Getreide;Winterweizen einschl. Dinkel;NA;56.9;NA;2001-2006
Maerkisch-Oderland;Hackfruechte;Kartoffeln zusammen;NA;303.6;NA;2001-2006
Maerkisch-Oderland;Hackfruechte;mittelfruehe und spaete Kartoffeln;NA;307.1;NA;2001-2006
Maerkisch-Oderland;Hackfruechte;Zuckerrueben;NA;493.5;NA;2001-2006
Maerkisch-Oderland;Huelsenfruechte;Erbsen;NA;24. Sep;NA;2001-2006
Maerkisch-Oderland;Huelsenfruechte;Lupinen;NA;NA;NA;2001-2006
Maerkisch-Oderland;Oelfruechte;Raps und Ruebsen zusammen;NA;NA;NA;2001-2006
Maerkisch-Oderland;Oelfruechte;Sonnenblumen;NA;20. Feb;NA;2001-2006
Maerkisch-Oderland;Oelfruechte;Winterraps;NA;30. Mrz;NA;2001-2006
Oberhavel;Futterpflanzen, Dauergruenland, Gruenernte;Feldgras/Grasanbau;NA;34.9;NA;2001-2006
Oberhavel;Futterpflanzen, Dauergruenland, Gruenernte;Klee, Kleegras und Klee-Luzerne-Gemisch;NA;59.5;NA;2001-2006
Oberhavel;Futterpflanzen, Dauergruenland, Gruenernte;Leguminosen;NA;NA;NA;2001-2006
Oberhavel;Futterpflanzen, Dauergruenland, Gruenernte;Luzerne, Luzernegras;NA;66.1;NA;2001-2006
